AISC_Manual_Label,W,A,Ix (in^4),Sx
S4X9.5,9.50,2.79,6.76,3.38
S4X7.7,7.70,2.26,6.05,3.03
S3X7.5,7.50,2.20,2.91,1.94
S3X5.7,5.70,1.66,2.50,1.67
HP18X204,204.00,60.20,3480.00,380.00
HP18X181,181.00,53.20,3020.00,336.00
HP18X157,157.00,46.20,2570.00,290.00
HP18X135,135.00,39.90,2200.00,251.00
HP16X183,183.00,54.10,2510.00,304.00
HP16X162,162.00,47.70,2190.00,269.00
HP16X141,141.00,41.70,1870.00,234.00
HP16X121,121.00,35.80,1590.00,201.00
HP16X101,101.00,29.90,1300.00,168.00
HP16X88,88.00,25.80,1110.00,145.00
HP14X117,117.00,34.40,1220.00,172.00
HP14X102,102.00,30.10,1050.00,150.00
HP14X89,89.00,26.10,904.00,131.00
HP14X73,73.00,21.40,729.00,107.00
HP12X84,84.00,24.60,650.00,106.00
HP12X74,74.00,21.80,569.00,93.80
HP12X63,63.00,18.40,472.00,79.10
HP12X53,53.00,15.50,393.00,66.70
HP10X57,57.00,16.70,294.00,58.80
HP10X42,42.00,12.40,210.00,43.40
HP8X36,36.00,10.60,119.00,29.80
C15X50,50.00,14.70,404.00,53.80
C15X40,40.00,11.80,348.00,46.50
C15X33.9,33.90,10.00,315.00,42.00
C12X30,30.00,8.81,162.00,27.00
C12X25,25.00,7.34,144.00,24.00
C12X20.7,20.70,6.08,129.00,21.50
C10X30,30.00,8.81,103.00,20.70
C10X25,25.00,7.35,91.10,18.20
C10X20,20.00,5.87,78.90,15.80
C10X15.3,15.30,4.48,67.30,13.50
C9X20,20.00,5.87,60.90,13.50
C9X15,15.00,4.40,51.00,11.30
C9X13.4,13.40,3.94,47.80,10.60
C8X18.75,18.75,5.51,43.90,11.00
C8X13.75,13.75,4.03,36.10,9.02
C8X11.5,11.50,3.37,32.50,8.14
C7X14.75,14.75,4.33,27.20,7.78
C7X12.25,12.25,3.59,24.20,6.92
C7X9.8,9.80,2.87,21.20,6.07
C6X13,13.00,3.82,17.30,5.78
C6X10.5,10.50,3.07,15.10,5.04
C6X8.2,8.20,2.39,13.10,4.35
C5X9,9.00,2.64,8.89,3.56
C5X6.7,6.70,1.97,7.48,2.99
C4X7.25,7.25,2.13,4.58,2.29
C4X6.25,6.25,1.77,4.00,2.00
C4X5.4,5.40,1.58,3.85,1.92
C4X4.5,4.50,1.38,3.65,1.83
C3X6,6.00,1.76,2.07,1.38
C3X5,5.00,1.47,1.85,1.23
C3X4.1,4.10,1.20,1.65,1.10
