AISC_Manual_Label,W,A,Ix (in^4),Sx
2L178X102X19X19SLBB,77.60,10000.00,-2161400000000.00,-3558100000000.00
2L178X102X15.9SLBB,65.40,8390.00,-2163100000000.00,-3560900000000.00
2L178X102X15.9X9SLBB,65.40,8390.00,-2164800000000.00,-3563700000000.00
2L178X102X15.9X19SLBB,65.40,8390.00,-2166500000000.00,-3566500000000.00
2L178X102X12.7SLBB,53.00,6770.00,-2168200000000.00,-3569300000000.00
2L178X102X12.7X9SLBB,53.00,6770.00,-2169900000000.00,-3572100000000.00
2L178X102X12.7X19SLBB,53.00,6770.00,-2171600000000.00,-3574900000000.00
2L178X102X11.1SLBB,46.80,5970.00,-2173300000000.00,-3577700000000.00
2L178X102X11.1X9SLBB,46.80,5970.00,-2175000000000.00,-3580500000000.00
2L178X102X11.1X19SLBB,46.80,5970.00,-2176700000000.00,-3583300000000.00
2L178X102X9.5SLBB,40.40,5160.00,-2178400000000.00,-3586100000000.00
2L178X102X9.5X9SLBB,40.40,5160.00,-2180100000000.00,-3588900000000.00
2L178X102X9.5X19SLBB,40.40,5160.00,-2181800000000.00,-3591700000000.00
2L152X102X22.2SLBB,81.00,10300.00,-2183500000000.00,-3594500000000.00
2L152X102X22.2X9SLBB,81.00,10300.00,-2185200000000.00,-3597300000000.00
2L152X102X22.2X19SLBB,81.00,10300.00,-2186900000000.00,-3600100000000.00
2L152X102X19SLBB,70.20,8970.00,-2188600000000.00,-3602900000000.00
2L152X102X19X9SLBB,70.20,8970.00,-2190300000000.00,-3605700000000.00
2L152X102X19X19SLBB,70.20,8970.00,-2192000000000.00,-3608500000000.00
2L152X102X15.9SLBB,59.60,7550.00,-2193700000000.00,-3611300000000.00
2L152X102X15.9X9SLBB,59.60,7550.00,-2195400000000.00,-3614100000000.00
2L152X102X15.9X19SLBB,59.60,7550.00,-2197100000000.00,-3616900000000.00
2L152X102X14.3SLBB,53.00,6840.00,-2198800000000.00,-3619700000000.00
2L152X102X14.3X9SLBB,53.00,6840.00,-2200500000000.00,-3622500000000.00
2L152X102X14.3X19SLBB,53.00,6840.00,-2202200000000.00,-3625300000000.00
2L152X102X12.7SLBB,48.20,6130.00,-2203900000000.00,-3628100000000.00
2L152X102X12.7X9SLBB,48.20,6130.00,-2205600000000.00,-3630900000000.00
2L152X102X12.7X19SLBB,48.20,6130.00,-2207300000000.00,-3633700000000.00
2L152X102X11.1SLBB,42.60,5390.00,-2209000000000.00,-3636500000000.00
2L152X102X11.1X9SLBB,42.60,5390.00,-2210700000000.00,-3639300000000.00
2L152X102X11.1X19SLBB,42.60,5390.00,-2212400000000.00,-3642100000000.00
2L152X102X9.5SLBB,36.60,4660.00,-2214100000000.00,-3644900000000.00
2L152X102X9.5X9SLBB,36.60,4660.00,-2215800000000.00,-3647700000000.00
2L152X102X9.5X19SLBB,36.60,4660.00,-2217500000000.00,-3650500000000.00
2L152X102X7.9SLBB,30.60,3910.00,-2219200000000.00,-3653300000000.00
2L152X102X7.9X9SLBB,30.60,3910.00,-2220900000000.00,-3656100000000.00
2L152X102X7.9X19SLBB,30.60,3910.00,-2222600000000.00,-3658900000000.00
2L152X89X12.7SLBB,45.40,5810.00,-2224300000000.00,-3661700000000.00
2L152X89X12.7X9SLBB,45.40,5810.00,-2226000000000.00,-3664500000000.00
2L152X89X12.7X19SLBB,45.40,5810.00,-2227700000000.00,-3667300000000.00
2L152X89X9.5SLBB,34.60,4440.00,-2229400000000.00,-3670100000000.00
2L152X89X9.5X9SLBB,34.60,4440.00,-2231100000000.00,-3672900000000.00
2L152X89X9.5X19SLBB,34.60,4440.00,-2232800000000.00,-3675700000000.00
2L152X89X7.9SLBB,29.00,3730.00,-2234500000000.00,-3678500000000.00
2L152X89X7.9X9SLBB,29.00,3730.00,-2236200000000.00,-3681300000000.00
2L152X89X7.9X19SLBB,29.00,3730.00,-2237900000000.00,-3684100000000.00
2L127X89X19SLBB,58.60,7550.00,-2239600000000.00,-3686900000000.00
2L127X89X19X9SLBB,58.60,7550.00,-2241300000000.00,-3689700000000.00
2L127X89X19X19SLBB,58.60,7550.00,-2243000000000.00,-3692500000000.00
2L127X89X15.9SLBB,49.80,6360.00,-2244700000000.00,-3695300000000.00
2L127X89X15.9X9SLBB,49.80,6360.00,-2246400000000.00,-3698100000000.00
2L127X89X15.9X19SLBB,49.80,6360.00,-2248100000000.00,-3700900000000.00
2L127X89X12.7SLBB,40.40,5160.00,-2249800000000.00,-3703700000000.00
2L127X89X12.7X9SLBB,40.40,5160.00,-2251500000000.00,-3706500000000.00
2L127X89X12.7X19SLBB,40.40,5160.00,-2253200000000.00,-3709300000000.00
2L127X89X9.5SLBB,30.80,3940.00,-2254900000000.00,-3712100000000.00
2L127X89X9.5X9SLBB,30.80,3940.00,-2256600000000.00,-3714900000000.00
2L127X89X9.5X19SLBB,30.80,3940.00,-2258300000000.00,-3717700000000.00
2L127X89X7.9SLBB,25.80,3300.00,-2260000000000.00,-3720500000000.00
2L127X89X7.9X9SLBB,25.80,3300.00,-2261700000000.00,-3723300000000.00
2L127X89X7.9X19SLBB,25.80,3300.00,-2263400000000.00,-3726100000000.00
2L127X89X6.4SLBB,20.80,2670.00,-2265100000000.00,-3728900000000.00
2L127X89X6.4X9SLBB,20.80,2670.00,-2266800000000.00,-3731700000000.00
2L127X89X6.4X19SLBB,20.80,2670.00,-2268500000000.00,-3734500000000.00
2L127X76X12.7SLBB,38.00,4840.00,-2270200000000.00,-3737300000000.00
2L127X76X12.7X9SLBB,38.00,4840.00,-2271900000000.00,-3740100000000.00
2L127X76X12.7X19SLBB,38.00,4840.00,-2273600000000.00,-3742900000000.00
2L127X76X11.1SLBB,33.60,4270.00,-2275300000000.00,-3745700000000.00
2L127X76X11.1X9SLBB,33.60,4270.00,-2277000000000.00,-3748500000000.00
2L127X76X11.1X19SLBB,33.60,4270.00,-2278700000000.00,-3751300000000.00
2L127X76X9.5SLBB,29.20,3690.00,-2280400000000.00,-3754100000000.00
2L127X76X9.5X9SLBB,29.20,3690.00,-2282100000000.00,-3756900000000.00
2L127X76X9.5X19SLBB,29.20,3690.00,-2283800000000.00,-3759700000000.00
2L127X76X7.9SLBB,24.40,3110.00,-2285500000000.00,-3762500000000.00
2L127X76X7.9X9SLBB,24.40,3110.00,-2287200000000.00,-3765300000000.00
2L127X76X7.9X19SLBB,24.40,3110.00,-2288900000000.00,-3768100000000.00
2L127X76X6.4SLBB,19.60,2500.00,-2290600000000.00,-3770900000000.00
2L127X76X6.4X9SLBB,19.60,2500.00,-2292300000000.00,-3773700000000.00
2L127X76X6.4X19SLBB,19.60,2500.00,-2294000000000.00,-3776500000000.00
2L102X89X12.7SLBB,35.20,4520.00,-2295700000000.00,-3779300000000.00
2L102X89X12.7X9SLBB,35.20,4520.00,-2297400000000.00,-3782100000000.00
2L102X89X12.7X19SLBB,35.20,4520.00,-2299100000000.00,-3784900000000.00
2L102X89X9.5SLBB,27.00,3460.00,-2300800000000.00,-3787700000000.00
2L102X89X9.5X9SLBB,27.00,3460.00,-2302500000000.00,-3790500000000.00
2L102X89X9.5X19SLBB,27.00,3460.00,-2304200000000.00,-3793300000000.00
2L102X89X7.9SLBB,22.80,2900.00,-2305900000000.00,-3796100000000.00
2L102X89X7.9X9SLBB,22.80,2900.00,-2307600000000.00,-3798900000000.00
2L102X89X7.9X19SLBB,22.80,2900.00,-2309300000000.00,-3801700000000.00
2L102X89X6.4SLBB,18.40,2350.00,-2311000000000.00,-3804500000000.00
2L102X89X6.4X9SLBB,18.40,2350.00,-2312700000000.00,-3807300000000.00
2L102X89X6.4X19SLBB,18.40,2350.00,-2314400000000.00,-3810100000000.00
2L102X76X15.9SLBB,40.40,5150.00,-2316100000000.00,-3812900000000.00
2L102X76X15.9X9SLBB,40.40,5150.00,-2317800000000.00,-3815700000000.00
2L102X76X15.9X19SLBB,40.40,5150.00,-2319500000000.00,-3818500000000.00
2L102X76X12.7SLBB,33.00,4190.00,-2321200000000.00,-3821300000000.00
2L102X76X12.7X9SLBB,33.00,4190.00,-2322900000000.00,-3824100000000.00
2L102X76X12.7X19SLBB,33.00,4190.00,-2324600000000.00,-3826900000000.00
2L102X76X9.5SLBB,25.20,3210.00,-2326300000000.00,-3829700000000.00
2L102X76X9.5X9SLBB,25.20,3210.00,-2328000000000.00,-3832500000000.00
2L102X76X9.5X19SLBB,25.20,3210.00,-2329700000000.00,-3835300000000.00
2L102X76X7.9SLBB,21.40,2700.00,-2331400000000.00,-3838100000000.00
2L102X76X7.9X9SLBB,21.40,2700.00,-2333100000000.00,-3840900000000.00
2L102X76X7.9X19SLBB,21.40,2700.00,-2334800000000.00,-3843700000000.00
2L102X76X6.4SLBB,17.20,2180.00,-2336500000000.00,-3846500000000.00
2L102X76X6.4X9SLBB,17.20,2180.00,-2338200000000.00,-3849300000000.00
2L102X76X6.4X19SLBB,17.20,2180.00,-2339900000000.00,-3852100000000.00
2L89X76X12.7SLBB,30.20,3900.00,-2341600000000.00,-3854900000000.00
2L89X76X12.7X9SLBB,30.20,3900.00,-2343300000000.00,-3857700000000.00
2L89X76X12.7X19SLBB,30.20,3900.00,-2345000000000.00,-3860500000000.00
2L89X76X11.1SLBB,27.00,3450.00,-2346700000000.00,-3863300000000.00
2L89X76X11.1X9SLBB,27.00,3450.00,-2348400000000.00,-3866100000000.00
2L89X76X11.1X19SLBB,27.00,3450.00,-2350100000000.00,-3868900000000.00
2L89X76X9.5SLBB,23.40,2990.00,-2351800000000.00,-3871700000000.00
2L89X76X9.5X9SLBB,23.40,2990.00,-2353500000000.00,-3874500000000.00
2L89X76X9.5X19SLBB,23.40,2990.00,-2355200000000.00,-3877300000000.00
2L89X76X7.9SLBB,19.60,2520.00,-2356900000000.00,-3880100000000.00
2L89X76X7.9X9SLBB,19.60,2520.00,-2358600000000.00,-3882900000000.00
2L89X76X7.9X19SLBB,19.60,2520.00,-2360300000000.00,-3885700000000.00
2L89X76X6.4SLBB,16.00,2040.00,-2362000000000.00,-3888500000000.00
2L89X76X6.4X9SLBB,16.00,2040.00,-2363700000000.00,-3891300000000.00
2L89X76X6.4X19SLBB,16.00,2040.00,-2365400000000.00,-3894100000000.00
2L89X64X12.7SLBB,27.80,3570.00,-2367100000000.00,-3896900000000.00
2L89X64X12.7X9SLBB,27.80,3570.00,-2368800000000.00,-3899700000000.00
2L89X64X12.7X19SLBB,27.80,3570.00,-2370500000000.00,-3902500000000.00
2L89X64X9.5SLBB,21.40,2740.00,-2372200000000.00,-3905300000000.00
2L89X64X9.5X9SLBB,21.40,2740.00,-2373900000000.00,-3908100000000.00
2L89X64X9.5X19SLBB,21.40,2740.00,-2375600000000.00,-3910900000000.00
2L89X64X7.9SLBB,18.00,2310.00,-2377300000000.00,-3913700000000.00
2L89X64X7.9X9SLBB,18.00,2310.00,-2379000000000.00,-3916500000000.00
2L89X64X7.9X19SLBB,18.00,2310.00,-2380700000000.00,-3919300000000.00
2L89X64X6.4SLBB,14.60,1870.00,-2382400000000.00,-3922100000000.00
2L89X64X6.4X9SLBB,14.60,1870.00,-2384100000000.00,-3924900000000.00
2L89X64X6.4X19SLBB,14.60,1870.00,-2385800000000.00,-3927700000000.00
2L76X64X12.7SLBB,25.20,3230.00,-2387500000000.00,-3930500000000.00
2L76X64X12.7X9SLBB,25.20,3230.00,-2389200000000.00,-3933300000000.00
2L76X64X12.7X19SLBB,25.20,3230.00,-2390900000000.00,-3936100000000.00
2L76X64X11.1SLBB,22.60,2860.00,-2392600000000.00,-3938900000000.00
2L76X64X11.1X9SLBB,22.60,2860.00,-2394300000000.00,-3941700000000.00
2L76X64X11.1X19SLBB,22.60,2860.00,-2396000000000.00,-3944500000000.00
2L76X64X9.5SLBB,19.60,2490.00,-2397700000000.00,-3947300000000.00
2L76X64X9.5X9SLBB,19.60,2490.00,-2399400000000.00,-3950100000000.00
2L76X64X9.5X19SLBB,19.60,2490.00,-2401100000000.00,-3952900000000.00
2L76X64X7.9SLBB,16.60,2100.00,-2402800000000.00,-3955700000000.00
2L76X64X7.9X9SLBB,16.60,2100.00,-2404500000000.00,-3958500000000.00
2L76X64X7.9X19SLBB,16.60,2100.00,-2406200000000.00,-3961300000000.00
2L76X64X6.4SLBB,13.40,1700.00,-2407900000000.00,-3964100000000.00
2L76X64X6.4X9SLBB,13.40,1700.00,-2409600000000.00,-3966900000000.00
2L76X64X6.4X19SLBB,13.40,1700.00,-2411300000000.00,-3969700000000.00
2L76X64X4.8SLBB,10.20,1290.00,-2413000000000.00,-3972500000000.00
2L76X64X4.8X9SLBB,10.20,1290.00,-2414700000000.00,-3975300000000.00
2L76X64X4.8X19SLBB,10.20,1290.00,-2416400000000.00,-3978100000000.00
2L76X51X12.7SLBB,22.80,2920.00,-2418100000000.00,-3980900000000.00
2L76X51X12.7X9SLBB,22.80,2920.00,-2419800000000.00,-3983700000000.00
2L76X51X12.7X19SLBB,22.80,2920.00,-2421500000000.00,-3986500000000.00
2L76X51X9.5SLBB,17.40,2260.00,-2423200000000.00,-3989300000000.00
2L76X51X9.5X9SLBB,17.40,2260.00,-2424900000000.00,-3992100000000.00
2L76X51X9.5X19SLBB,17.40,2260.00,-2426600000000.00,-3994900000000.00
2L76X51X7.9SLBB,14.80,1910.00,-2428300000000.00,-3997700000000.00
2L76X51X7.9X9SLBB,14.80,1910.00,-2430000000000.00,-4000500000000.00
2L76X51X7.9X19SLBB,14.80,1910.00,-2431700000000.00,-4003300000000.00
2L76X51X6.4SLBB,12.20,1550.00,-2433400000000.00,-4006100000000.00
2L76X51X6.4X9SLBB,12.20,1550.00,-2435100000000.00,-4008900000000.00
2L76X51X6.4X19SLBB,12.20,1550.00,-2436800000000.00,-4011700000000.00
2L76X51X4.8SLBB,9.20,1180.00,-2438500000000.00,-4014500000000.00
2L76X51X4.8X9SLBB,9.20,1180.00,-2440200000000.00,-4017300000000.00
2L76X51X4.8X19SLBB,9.20,1180.00,-2441900000000.00,-4020100000000.00
2L64X51X9.5SLBB,15.80,2000.00,-2443600000000.00,-4022900000000.00
2L64X51X9.5X9SLBB,15.80,2000.00,-2445300000000.00,-4025700000000.00
2L64X51X9.5X19SLBB,15.80,2000.00,-2447000000000.00,-4028500000000.00
2L64X51X7.9SLBB,13.40,1700.00,-2448700000000.00,-4031300000000.00
2L64X51X7.9X9SLBB,13.40,1700.00,-2450400000000.00,-4034100000000.00
2L64X51X7.9X19SLBB,13.40,1700.00,-2452100000000.00,-4036900000000.00
2L64X51X6.4SLBB,10.80,1380.00,-2453800000000.00,-4039700000000.00
2L64X51X6.4X9SLBB,10.80,1380.00,-2455500000000.00,-4042500000000.00
2L64X51X6.4X19SLBB,10.80,1380.00,-2457200000000.00,-4045300000000.00
2L64X51X4.8SLBB,8.40,1060.00,-2458900000000.00,-4048100000000.00
2L64X51X4.8X9SLBB,8.40,1060.00,-2460600000000.00,-4050900000000.00
2L64X51X4.8X19SLBB,8.40,1060.00,-2462300000000.00,-4053700000000.00
2L64X38X6.4SLBB,9.49,1220.00,-2464000000000.00,-4056500000000.00
2L64X38X6.4X9SLBB,9.49,1220.00,-2465700000000.00,-4059300000000.00
2L64X38X6.4X19SLBB,9.49,1220.00,-2467400000000.00,-4062100000000.00
2L64X38X4.8SLBB,7.26,935.00,-2469100000000.00,-4064900000000.00
2L64X38X4.8X9SLBB,7.26,935.00,-2470800000000.00,-4067700000000.00
2L64X38X4.8X19SLBB,7.26,935.00,-2472500000000.00,-4070500000000.00
HSS508X304.8X15.9,189.00,22600.00,-2474200000000.00,-4073300000000.00
HSS508X304.8X12.7,153.00,18300.00,-2475900000000.00,-4076100000000.00
HSS508X304.8X9.5,117.00,13900.00,-2477600000000.00,-4078900000000.00
HSS508X304.8X7.9,97.90,11700.00,-2479300000000.00,-4081700000000.00
HSS508X203.2X15.9,164.00,19500.00,-2481000000000.00,-4084500000000.00
HSS508X203.2X12.7,133.00,15900.00,-2482700000000.00,-4087300000000.00
HSS508X203.2X9.5,102.00,12100.00,-2484400000000.00,-4090100000000.00
HSS508X203.2X7.9,85.30,10100.00,-2486100000000.00,-4092900000000.00
HSS508X101.6X12.7,113.00,13500.00,-2487800000000.00,-4095700000000.00
HSS508X101.6X9.5,86.40,10300.00,-2489500000000.00,-4098500000000.00
HSS508X101.6X7.9,72.70,8650.00,-2491200000000.00,-4101300000000.00
HSS508X101.6X6.4,58.70,6970.00,-2492900000000.00,-4104100000000.00
HSS457.2X152.4X15.9,139.00,16600.00,-2494600000000.00,-4106900000000.00
HSS457.2X152.4X12.7,113.00,13500.00,-2496300000000.00,-4109700000000.00
HSS457.2X152.4X9.5,86.40,10300.00,-2498000000000.00,-4112500000000.00
HSS457.2X152.4X7.9,72.70,8650.00,-2499700000000.00,-4115300000000.00
HSS457.2X152.4X6.4,58.70,6970.00,-2501400000000.00,-4118100000000.00
HSS406.4X406.4X15.9,189.00,22600.00,-2503100000000.00,-4120900000000.00
HSS406.4X406.4X12.7,153.00,18300.00,-2504800000000.00,-4123700000000.00
HSS406.4X406.4X9.5,117.00,13900.00,-2506500000000.00,-4126500000000.00
HSS406.4X406.4X7.9,97.90,11700.00,-2508200000000.00,-4129300000000.00
HSS406.4X304.8X15.9,164.00,19500.00,-2509900000000.00,-4132100000000.00
HSS406.4X304.8X12.7,133.00,15900.00,-2511600000000.00,-4134900000000.00
HSS406.4X304.8X9.5,102.00,12100.00,-2513300000000.00,-4137700000000.00
HSS406.4X304.8X7.9,85.40,10100.00,-2515000000000.00,-4140500000000.00
HSS406.4X203.2X15.9,139.00,16600.00,-2516700000000.00,-4143300000000.00
HSS406.4X203.2X12.7,113.00,13500.00,-2518400000000.00,-4146100000000.00
HSS406.4X203.2X9.5,86.40,10300.00,-2520100000000.00,-4148900000000.00
HSS406.4X203.2X7.9,72.70,8650.00,-2521800000000.00,-4151700000000.00
HSS406.4X203.2X6.4,58.70,6970.00,-2523500000000.00,-4154500000000.00
HSS406.4X101.6X15.9,113.00,13500.00,-2525200000000.00,-4157300000000.00
HSS406.4X101.6X12.7,92.70,11100.00,-2526900000000.00,-4160100000000.00
HSS406.4X101.6X9.5,71.20,8520.00,-2528600000000.00,-4162900000000.00
HSS406.4X101.6X7.9,60.00,7160.00,-2530300000000.00,-4165700000000.00
HSS406.4X101.6X6.4,48.60,5780.00,-2532000000000.00,-4168500000000.00
HSS406.4X101.6X4.8,36.70,4360.00,-2533700000000.00,-4171300000000.00
HSS355.6X355.6X15.9,164.00,19500.00,-2535400000000.00,-4174100000000.00
HSS355.6X355.6X12.7,133.00,15900.00,-2537100000000.00,-4176900000000.00
HSS355.6X355.6X9.5,102.00,12100.00,-2538800000000.00,-4179700000000.00
HSS355.6X355.6X7.9,85.30,10100.00,-2540500000000.00,-4182500000000.00
HSS355.6X254X15.9,139.00,16600.00,-2542200000000.00,-4185300000000.00
HSS355.6X254X12.7,113.00,13500.00,-2543900000000.00,-4188100000000.00
HSS355.6X254X9.5,86.40,10300.00,-2545600000000.00,-4190900000000.00
HSS355.6X254X7.9,72.70,8650.00,-2547300000000.00,-4193700000000.00
HSS355.6X254X6.4,58.70,6970.00,-2549000000000.00,-4196500000000.00
HSS355.6X152.4X15.9,113.00,13500.00,-2550700000000.00,-4199300000000.00
HSS355.6X152.4X12.7,92.70,11100.00,-2552400000000.00,-4202100000000.00
HSS355.6X152.4X9.5,71.20,8520.00,-2554100000000.00,-4204900000000.00
HSS355.6X152.4X7.9,60.00,7160.00,-2555800000000.00,-4207700000000.00
HSS355.6X152.4X6.4,48.60,5780.00,-2557500000000.00,-4210500000000.00
HSS355.6X152.4X4.8,36.70,4360.00,-2559200000000.00,-4213300000000.00
HSS355.6X101.6X15.9,101.00,12100.00,-2560900000000.00,-4216100000000.00
HSS355.6X101.6X12.7,82.60,9870.00,-2562600000000.00,-4218900000000.00
HSS355.6X101.6X9.5,63.60,7610.00,-2564300000000.00,-4221700000000.00
HSS355.6X101.6X7.9,53.70,6400.00,-2566000000000.00,-4224500000000.00
HSS355.6X101.6X6.4,43.50,5180.00,-2567700000000.00,-4227300000000.00
HSS355.6X101.6X4.8,32.90,3910.00,-2569400000000.00,-4230100000000.00
HSS304.8X304.8X15.9,139.00,16600.00,-2571100000000.00,-4232900000000.00
HSS304.8X304.8X12.7,113.00,13500.00,-2572800000000.00,-4235700000000.00
HSS304.8X304.8X9.5,86.30,10300.00,-2574500000000.00,-4238500000000.00
HSS304.8X304.8X7.9,72.60,8650.00,-2576200000000.00,-4241300000000.00
HSS304.8X304.8X6.4,58.60,6970.00,-2577900000000.00,-4244100000000.00
HSS304.8X304.8X4.8,44.40,5260.00,-2579600000000.00,-4246900000000.00
HSS304.8X254X12.7,103.00,12300.00,-2581300000000.00,-4249700000000.00
HSS304.8X254X9.5,78.80,9420.00,-2583000000000.00,-4252500000000.00
HSS304.8X254X7.9,66.40,7870.00,-2584700000000.00,-4255300000000.00
HSS304.8X254X6.4,53.60,6390.00,-2586400000000.00,-4258100000000.00
HSS304.8X203.2X15.9,113.00,13500.00,-2588100000000.00,-4260900000000.00
HSS304.8X203.2X12.7,92.70,11100.00,-2589800000000.00,-4263700000000.00
HSS304.8X203.2X9.5,71.20,8520.00,-2591500000000.00,-4266500000000.00
HSS304.8X203.2X7.9,60.10,7160.00,-2593200000000.00,-4269300000000.00
HSS304.8X203.2X6.4,48.50,5780.00,-2594900000000.00,-4272100000000.00
HSS304.8X203.2X4.8,36.90,4360.00,-2596600000000.00,-4274900000000.00
HSS304.8X152.4X15.9,101.00,12100.00,-2598300000000.00,-4277700000000.00
HSS304.8X152.4X12.7,82.60,9870.00,-2600000000000.00,-4280500000000.00
HSS304.8X152.4X9.5,63.60,7610.00,-2601700000000.00,-4283300000000.00
HSS304.8X152.4X7.9,53.70,6400.00,-2603400000000.00,-4286100000000.00
HSS304.8X152.4X6.4,43.40,5180.00,-2605100000000.00,-4288900000000.00
HSS304.8X152.4X4.8,33.10,3910.00,-2606800000000.00,-4291700000000.00
HSS304.8X101.6X15.9,88.00,10600.00,-2608500000000.00,-4294500000000.00
HSS304.8X101.6X12.7,72.50,8710.00,-2610200000000.00,-4297300000000.00
HSS304.8X101.6X9.5,56.00,6710.00,-2611900000000.00,-4300100000000.00
HSS304.8X101.6X7.9,47.40,5650.00,-2613600000000.00,-4302900000000.00
HSS304.8X101.6X6.4,38.40,4580.00,-2615300000000.00,-4305700000000.00
HSS304.8X101.6X4.8,29.30,3460.00,-2617000000000.00,-4308500000000.00
HSS304.8X88.9X9.5,54.10,6450.00,-2618700000000.00,-4311300000000.00
HSS304.8X88.9X7.9,45.80,5460.00,-2620400000000.00,-4314100000000.00
HSS304.8X76.2X7.9,44.20,5270.00,-2622100000000.00,-4316900000000.00
HSS304.8X76.2X6.4,35.80,4280.00,-2623800000000.00,-4319700000000.00
HSS304.8X76.2X4.8,27.40,3240.00,-2625500000000.00,-4322500000000.00
HSS304.8X50.8X7.9,41.00,4900.00,-2627200000000.00,-4325300000000.00
HSS304.8X50.8X6.4,33.30,3980.00,-2628900000000.00,-4328100000000.00
HSS304.8X50.8X4.8,25.40,3010.00,-2630600000000.00,-4330900000000.00
HSS254X254X15.9,113.00,13500.00,-2632300000000.00,-4333700000000.00
HSS254X254X12.7,92.70,11100.00,-2634000000000.00,-4336500000000.00
HSS254X254X9.5,71.20,8520.00,-2635700000000.00,-4339300000000.00
HSS254X254X7.9,60.00,7160.00,-2637400000000.00,-4342100000000.00
HSS254X254X6.4,48.50,5780.00,-2639100000000.00,-4344900000000.00
HSS254X254X4.8,36.80,4360.00,-2640800000000.00,-4347700000000.00
HSS254X203.2X15.9,101.00,12100.00,-2642500000000.00,-4350500000000.00
HSS254X203.2X12.7,82.60,9870.00,-2644200000000.00,-4353300000000.00
HSS254X203.2X9.5,63.60,7610.00,-2645900000000.00,-4356100000000.00
HSS254X203.2X7.9,53.70,6400.00,-2647600000000.00,-4358900000000.00
HSS254X203.2X6.4,43.40,5180.00,-2649300000000.00,-4361700000000.00
HSS254X203.2X4.8,33.10,3910.00,-2651000000000.00,-4364500000000.00
HSS254X152.4X15.9,88.00,10600.00,-2652700000000.00,-4367300000000.00
HSS254X152.4X12.7,72.50,8710.00,-2654400000000.00,-4370100000000.00
HSS254X152.4X9.5,56.00,6710.00,-2656100000000.00,-4372900000000.00
HSS254X152.4X7.9,47.40,5650.00,-2657800000000.00,-4375700000000.00
HSS254X152.4X6.4,38.40,4580.00,-2659500000000.00,-4378500000000.00
HSS254X152.4X4.8,29.30,3460.00,-2661200000000.00,-4381300000000.00
HSS254X127X9.5,52.20,6240.00,-2662900000000.00,-4384100000000.00
HSS254X127X7.9,44.20,5270.00,-2664600000000.00,-4386900000000.00
HSS254X127X6.4,35.80,4280.00,-2666300000000.00,-4389700000000.00
HSS254X127X4.8,27.40,3240.00,-2668000000000.00,-4392500000000.00
HSS254X101.6X15.9,75.30,9030.00,-2669700000000.00,-4395300000000.00
HSS254X101.6X12.7,62.40,7480.00,-2671400000000.00,-4398100000000.00
HSS254X101.6X9.5,48.40,5790.00,-2673100000000.00,-4400900000000.00
HSS254X101.6X7.9,41.00,4900.00,-2674800000000.00,-4403700000000.00
HSS254X101.6X6.4,33.30,3980.00,-2676500000000.00,-4406500000000.00
HSS254X101.6X4.8,25.40,3010.00,-2678200000000.00,-4409300000000.00
HSS254X101.6X3.2,17.20,2040.00,-2679900000000.00,-4412100000000.00
HSS254X88.9X12.7,59.80,7160.00,-2681600000000.00,-4414900000000.00
HSS254X88.9X9.5,46.50,5560.00,-2683300000000.00,-4417700000000.00
HSS254X88.9X7.9,39.50,4710.00,-2685000000000.00,-4420500000000.00
HSS254X88.9X6.4,32.00,3830.00,-2686700000000.00,-4423300000000.00
HSS254X88.9X4.8,24.50,2900.00,-2688400000000.00,-4426100000000.00
HSS254X88.9X3.2,16.60,1960.00,-2690100000000.00,-4428900000000.00
HSS254X76.2X9.5,44.60,5340.00,-2691800000000.00,-4431700000000.00
HSS254X76.2X7.9,37.90,4520.00,-2693500000000.00,-4434500000000.00
HSS254X76.2X6.4,30.80,3680.00,-2695200000000.00,-4437300000000.00
HSS254X76.2X4.8,23.50,2790.00,-2696900000000.00,-4440100000000.00
HSS254X76.2X3.2,15.90,1890.00,-2698600000000.00,-4442900000000.00
HSS254X50.8X9.5,40.80,4890.00,-2700300000000.00,-4445700000000.00
HSS254X50.8X7.9,34.70,4150.00,-2702000000000.00,-4448500000000.00
HSS254X50.8X6.4,28.30,3380.00,-2703700000000.00,-4451300000000.00
HSS254X50.8X4.8,21.60,2570.00,-2705400000000.00,-4454100000000.00
HSS254X50.8X3.2,14.70,1740.00,-2707100000000.00,-4456900000000.00
HSS228.6X228.6X15.9,101.00,12100.00,-2708800000000.00,-4459700000000.00
HSS228.6X228.6X12.7,82.60,9870.00,-2710500000000.00,-4462500000000.00
HSS228.6X228.6X9.5,63.60,7610.00,-2712200000000.00,-4465300000000.00
HSS228.6X228.6X7.9,53.60,6400.00,-2713900000000.00,-4468100000000.00
HSS228.6X228.6X6.4,43.40,5180.00,-2715600000000.00,-4470900000000.00
HSS228.6X228.6X74.8,33.00,3910.00,-2717300000000.00,-4473700000000.00
HSS228.6X228.6X3.2,22.30,2640.00,-2719000000000.00,-4476500000000.00
HSS228.6X177.8X15.9,88.00,10600.00,-2720700000000.00,-4479300000000.00
HSS228.6X177.8X12.7,72.50,8710.00,-2722400000000.00,-4482100000000.00
HSS228.6X177.8X9.5,56.00,6710.00,-2724100000000.00,-4484900000000.00
HSS228.6X177.8X7.9,47.40,5650.00,-2725800000000.00,-4487700000000.00
HSS228.6X177.8X6.4,38.40,4580.00,-2727500000000.00,-4490500000000.00
HSS228.6X177.8X4.8,29.30,3460.00,-2729200000000.00,-4493300000000.00
